"country","totKilled","ratePer10M","pop2021"
"Brazil","6160","293.2000","213993.4370"
"Philippines","5810","542.9000","111046.9130"
"Venezuela","5287","1632.7000","28704.9540"
"India","1731","12.5400","1393409.0380"
"Syria","1497","831.6000","18275.7020"
"United States","933","28.4000","332915.0730"
"Nigeria","841","44","211400.7080"
"El Salvador","609","954.5000","6518.4990"
"Afghanistan","606","170.5000","39835.4280"
"Pakistan","495","25.2000","225199.9370"
"Bangladesh","466","28.3000","166303.4980"
"South Africa","436","76.9000","60041.9940"
"DR Congo","389","47.8000","92377.9930"
"Mexico","371","30","130262.2160"
"Nicaragua","325","522.7000","6702.3850"
"Iran","304","36.6000","85028.7590"
"Palestine","238","508","5222.7480"
"Kenya","222","43.5000","54985.6980"
"Egypt","212","21.2000","104258.3270"
"Iraq","176","45.1000","41179.3500"
"Colombia","169","34.1000","51265.8440"
"Dominican Republic","142","131.8000","10953.7030"
"Sudan","138","32.1000","44909.3530"
"Jamaica","137","472.7000","2973.4630"
"Burkina Faso","116","60.4000","21497.0960"
"Angola","100","34.7000","33933.6100"
"Argentina","95","21.6000","45605.8260"
"Honduras","92","110.2000","10062.9910"
"Indonesia","77","2.9000","276361.7830"
"Mali","60","32.3000","20855.7350"
"Trinidad and Tobago","46","339.7000","1403.3750"
"Burundi","39","53.9000","12255.4330"
"Rwanda","37","31","13276.5130"
"Canada","36","9.7000","38067.9030"
"Central African Republic","30","64.4000","4919.9810"
"France","26","3.8000","65426.1790"
"Uruguay","22","63.4000","3485.1510"
"Lesotho","19","63.8000","2159.0790"
"Guyana","12","152.5000","790.3260"
"Germany","11","1.3000","83900.4730"
"Bahamas","11","275.7000","396.9130"
"Sweden","6","6","10160.1690"
"Nepal","5","1.7000","29674.9200"
"Australia","4","1.7000","25788.2150"
"Netherlands","4","2.3000","17173.0990"
"United Kingdom","3","0.5000","68207.1160"
"Finland","3","5.4000","5548.3600"
"Swaziland","3","22.1000","1172.3620"
"Japan","2","0.2000","126050.8040"
"Poland","2","0.5000","37797.0050"
"Taiwan","2","0.8000","23855.0100"
"Saint Vincent and the Grenadines","2","181.8000","111.2630"
"Portugal","1","1","10167.9250"
"Hong Kong","1","1.3000","7552.8100"
"Norway","1","1.9000","5465.6300"
"New Zealand","1","2.1000","4860.6430"
"Luxembourg","1","16.9000","634.8140"
"Malta","1","20","442.7840"
"Saint Lucia","1","56.2000","184.4000"
"Iceland","0","0","343.3530"
"Denmark","0","0","5813.2980"
"Switzerland","0","0","8715.4940"